,routing_processing_time_s,local_processing_time_s
718,0.6751,0.3325
719,0.326,0.3341
720,0.1577,0.7715
721,0.4205,0.5361
722,0.2827,0.2162
723,0.7001,0.5989
724,0.2148,0.5201
725,0.5657,0.8221
726,0.2941,0.7557
727,0.2225,0.721
728,0.1168,0.4617
729,0.9177,0.5432
730,0.5359,0.2723
731,0.4641,0.5549
732,0.1147,0.2786
733,0.6612,1.1989
734,0.3228,0.4557
735,0.3379,0.4968
736,0.1285,1.0493
737,0.5008,0.299
738,0.3606,0.8187
739,0.2194,0.2028
740,0.246,0.2078
741,0.9698,0.7227
742,0.5602,0.2757
743,0.2226,0.752
744,0.0678,0.5334
745,1.0054,0.3943
746,0.3502,0.3351
747,0.3126,0.689
748,0.1048,0.2972
749,0.4908,0.5146
750,1.2992,0.5035
751,0.7428,0.5201
752,0.4124,0.6903
753,0.9969,0.1983
754,0.2236,0.3676
755,0.5646,0.3266
756,0.2909,0.29
757,0.7733,0.5489
758,0.2025,0.4735
759,0.6224,0.1867
760,0.3844,0.3629
761,0.7493,0.9562
762,0.3682,0.102
763,0.6013,0.6766
764,0.2395,0.3044
765,0.5862,0.2206
766,0.7737,0.4677
767,0.7551,0.756
768,0.0901,0.3943
769,0.5294,0.3882
770,0.5082,0.1677
771,0.495,0.4047
772,0.14,0.7515
773,1.0245,0.3628
774,0.2241,0.5139
775,0.241,0.4594
776,0.4469,0.215
777,1.1249,0.2584
778,0.2362,0.5884
779,0.3552,0.3194
780,0.3038,1.0565
781,0.613,0.6452
782,0.4495,0.7745
783,0.2909,0.3755
784,0.1789,0.7686
785,0.9831,0.5944
786,0.3166,0.2433
787,0.3964,0.5324
788,0.6609,0.4777
789,1.5018,0.1747
790,0.4001,0.5572
791,0.8699,0.6047
792,0.1996,0.52
793,0.7838,0.234
794,0.3168,0.6851
795,0.2025,0.1966
796,0.2767,0.2478
797,0.4851,0.7709
798,0.2918,0.204
799,0.4357,0.6026
800,0.0775,0.3112
801,0.9137,0.3394
802,0.2179,0.414
803,0.3239,0.3596
804,0.1296,1.0466
805,0.5315,0.9036
806,0.2235,0.2267
807,0.3669,0.5806
808,0.0852,0.5848
809,0.5567,1.0577
810,0.2645,0.2416
811,0.656,0.5579
812,0.1955,0.664
813,0.5308,0.8947
814,0.1866,0.2223
815,0.3975,0.1752
816,0.0922,0.2046
817,0.9048,0.7286
818,0.3449,0.7509
819,0.5705,0.4841
820,0.1137,0.2032
821,1.0562,0.226
822,0.2271,0.6059
823,0.4163,0.851
824,0.1467,0.2886
825,0.8072,1.0529
826,0.4819,0.3392
827,0.2806,0.6629
828,0.3705,0.5647
829,0.9804,0.2291
830,0.1958,0.1125
831,0.499,0.5371
832,0.1068,0.2843
833,0.7413,0.7911
834,0.2275,0.236
835,0.5075,0.5354
836,0.1786,0.6877
837,0.4981,0.4177
838,0.2418,0.2076
839,0.3301,0.583
840,0.0987,0.4654
841,0.7381,0.5844
842,0.4007,0.2109
843,0.5235,0.3175
844,0.1117,0.5551
845,0.6645,0.8509
846,0.2247,0.2465
847,0.6661,0.2656
848,0.2079,0.4071
849,0.9107,0.5454
850,0.4692,0.5701
851,0.2931,0.7803
852,0.1829,0.9823
853,0.8467,0.4414
854,0.2543,0.7817
855,0.2807,0.9039
856,0.3473,0.2114
857,0.9346,0.2372
858,0.3522,0.2871
859,0.3916,0.5838
860,0.1156,0.3468
861,0.8913,0.2424
862,0.4271,0.343
863,0.3313,0.6133
864,0.6065,0.1213
865,0.652,0.7021
866,0.4664,0.3041
867,0.278,0.333
868,0.0836,0.3477
869,0.9027,0.2218
870,0.5379,0.2547
871,0.2326,0.9011
872,0.1282,0.095
873,0.9989,0.298
874,0.3275,0.6755
875,0.37,0.6293
876,0.4093,1.2046
877,0.8679,0.7049
878,0.2275,1.0
879,0.3957,0.9664
880,0.4504,1.1182
881,0.7584,0.314
882,0.3498,0.5441
883,0.4398,0.2439
884,0.4078,0.4214
885,0.5452,0.5652
886,0.2306,0.5785
887,0.4338,0.3066
888,0.1308,0.2953
889,0.9127,0.5311
890,0.2723,0.4389
891,0.6671,0.2413
